"Date","Price","Open","High","Low","Vol.","Change %"
"Mar 07, 2019","1,292.80","1,293.50","1,296.10","1,287.50","51.05K","-0.11%"
"Mar 06, 2019","1,294.20","1,295.20","1,298.10","1,290.90","13.12K","0.23%"
"Mar 05, 2019","1,291.20","1,294.10","1,297.00","1,288.50","18.12K","-0.22%"
"Mar 04, 2019","1,294.00","1,301.00","1,304.60","1,290.30","13.64K","-0.90%"
"Mar 01, 2019","1,305.80","1,322.00","1,323.20","1,297.80","32.36K","-1.28%"
"Feb 28, 2019","1,322.70","1,328.00","1,335.00","1,320.60","8.31K","-0.39%"
"Feb 27, 2019","1,327.90","1,337.70","1,338.00","1,325.00","18.90K","-0.55%"
"Feb 26, 2019","1,335.20","1,336.00","1,338.80","1,332.10","8.87K","-0.07%"
"Feb 25, 2019","1,336.10","1,336.90","1,341.40","1,334.00","4.22K","-0.25%"
"Feb 22, 2019","1,339.40","1,332.40","1,342.00","1,330.30","8.27K","0.38%"
"Feb 21, 2019","1,334.30","1,348.10","1,350.70","1,330.00","6.33K","-1.48%"
"Feb 20, 2019","1,354.40","1,350.30","1,356.00","1,346.80","4.04K","0.23%"
"Feb 19, 2019","1,351.30","1,331.10","1,351.40","1,330.50","5.59K","1.64%"
"Feb 18, 2019","1,329.55","1,324.35","1,330.75","1,324.05","-","0.40%"
"Feb 17, 2019","1,324.25","1,324.65","1,324.95","1,323.85","-","-0.32%"
"Feb 15, 2019","1,328.50","1,322.00","1,332.20","1,320.70","2.83K","0.61%"
"Feb 14, 2019","1,320.40","1,316.70","1,323.70","1,311.30","3.61K","-0.09%"
"Feb 13, 2019","1,321.60","1,321.30","1,328.00","1,314.90","5.40K","0.09%"
"Feb 12, 2019","1,320.40","1,317.10","1,324.60","1,317.10","3.90K","0.15%"
"Feb 11, 2019","1,318.40","1,324.60","1,324.90","1,313.70","4.95K","-0.50%"
"Feb 08, 2019","1,325.00","1,320.50","1,325.90","1,318.20","6.48K","0.33%"
"Feb 07, 2019","1,320.70","1,317.20","1,322.20","1,313.20","5.73K","-0.02%"
"Feb 06, 2019","1,320.90","1,325.70","1,326.10","1,316.60","2.26K","-0.37%"
"Feb 05, 2019","1,325.80","1,322.40","1,327.30","1,321.50","4.21K","0.00%"
"Feb 04, 2019","1,325.80","1,329.00","1,329.50","1,319.30","2.89K","-0.21%"
"Feb 01, 2019","1,328.60","1,332.10","1,334.20","1,327.20","3.62K","-0.23%"
"Jan 31, 2019","1,331.60","1,332.00","1,337.20","1,328.80","4.30K","0.73%"
"Jan 30, 2019","1,321.90","1,323.20","1,334.90","1,320.00","8.29K","0.02%"
"Jan 29, 2019","1,321.70","1,314.90","1,323.40","1,314.50","9.66K","0.44%"
"Jan 28, 2019","1,315.90","1,314.30","1,316.20","1,309.30","9.15K","0.40%"
"Jan 25, 2019","1,310.60","1,292.80","1,315.50","1,291.70","5.62K","1.42%"
"Jan 24, 2019","1,292.30","1,294.50","1,296.30","1,288.30","6.48K","-0.34%"
"Jan 23, 2019","1,296.70","1,296.60","1,298.30","1,290.70","8.23K","0.06%"
"Jan 22, 2019","1,295.90","1,294.60","1,297.20","1,288.70","7.96K","1.32%"
"Jan 21, 2019","1,279.05","1,281.95","1,282.95","1,276.15","-","-0.23%"
"Jan 20, 2019","1,282.05","1,281.30","1,282.70","1,280.50","-","-1.02%"
"Jan 18, 2019","1,295.20","1,302.90","1,304.20","1,292.60","2.95K","-0.75%"
"Jan 17, 2019","1,305.00","1,306.30","1,307.60","1,301.10","3.83K","-0.12%"
"Jan 16, 2019","1,306.60","1,302.70","1,307.80","1,300.80","5.18K","0.41%"
"Jan 15, 2019","1,301.30","1,305.10","1,307.80","1,300.10","5.17K","-0.25%"
"Jan 14, 2019","1,304.60","1,302.00","1,309.00","1,302.00","6.55K","0.15%"
"Jan 11, 2019","1,302.70","1,300.10","1,308.40","1,300.10","6.65K","0.17%"
"Jan 10, 2019","1,300.50","1,306.50","1,310.50","1,300.10","8.06K","-0.34%"
"Jan 09, 2019","1,304.90","1,300.30","1,307.60","1,293.80","4.56K","0.47%"
"Jan 08, 2019","1,298.80","1,303.70","1,303.70","1,293.00","6.38K","-0.31%"
"Jan 07, 2019","1,302.90","1,298.90","1,309.00","1,298.50","1.82K","0.32%"
"Jan 04, 2019","1,298.70","1,308.60","1,312.90","1,291.00","1.85K","-0.69%"
"Jan 03, 2019","1,307.70","1,304.50","1,308.80","1,299.50","2.62K","0.83%"
"Jan 02, 2019","1,296.90","1,297.20","1,303.40","1,293.50","2.27K","1.06%"
"Jan 01, 2019","1,283.35","1,284.70","1,284.75","1,282.85","-","-0.84%"
"Dec 31, 2018","1,294.20","1,294.40","1,298.90","1,293.20","1.87K","-0.12%"
"Dec 28, 2018","1,295.70","1,289.40","1,296.30","1,289.30","1.50K","0.15%"
